Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Baltimore Orioles,58,27.0,5.01,141,5380,4844,707,1221,235,31,209,680,86,24,427,1166,.252,.318,.443,.761,118,2145,64,60,6,39,12,955
Boston Red Sox,53,27.3,4.74,140,5379,4849,664,1240,271,29,172,640,124,36,426,1354,.256,.321,.430,.751,106,2085,89,59,6,37,25,976
Chicago White Sox,61,28.0,3.06,141,5090,4667,431,1029,207,8,112,412,84,28,343,1220,.220,.278,.340,.618,75,1588,104,38,17,23,6,876
Cleveland Guardians,48,26.2,4.54,140,5174,4624,636,1106,214,16,161,599,128,38,408,1018,.239,.310,.397,.707,97,1835,101,84,16,39,27,849
Detroit Tigers,46,26.9,4.19,140,5183,4700,587,1093,210,40,145,566,69,20,393,1240,.233,.296,.387,.683,92,1818,78,48,3,33,9,884
Houston Astros,55,28.8,4.58,139,5247,4759,636,1239,223,15,165,607,82,23,377,1024,.260,.320,.418,.738,109,1987,114,60,10,40,19,938
Kansas City Royals,50,27.7,4.75,141,5216,4735,670,1201,244,31,157,652,114,29,366,971,.254,.310,.418,.728,101,1978,80,45,21,47,20,855
Los Angeles Angels,60,27.3,3.94,139,5111,4582,547,1056,201,14,143,513,113,45,408,1185,.230,.302,.374,.676,88,1714,97,74,11,33,4,865
Minnesota Twins,48,28.8,4.76,139,5264,4710,662,1185,271,21,168,627,63,22,412,1118,.252,.321,.425,.746,108,2002,100,88,8,44,10,935
New York Yankees,54,28.1,5.10,140,5405,4725,714,1191,216,15,213,688,66,21,569,1129,.252,.335,.439,.774,116,2076,121,43,12,53,21,986
Oakland Athletics,55,26.6,4.08,140,5193,4660,571,1087,207,16,179,548,81,25,438,1285,.233,.304,.400,.704,102,1863,91,48,15,32,11,909
Seattle Mariners,50,28.8,4.04,140,5190,4570,566,992,189,12,155,536,117,26,489,1422,.217,.304,.365,.670,97,1670,93,95,11,23,9,926
Tampa Bay Rays,53,27.4,3.90,139,5188,4632,542,1069,221,17,128,505,161,46,443,1277,.231,.306,.369,.675,93,1708,80,71,10,28,14,949
Texas Rangers,51,28.1,4.21,140,5240,4735,589,1131,194,14,147,563,79,22,426,1108,.239,.306,.379,.685,95,1794,83,45,6,28,19,943
Toronto Blue Jays,49,28.3,4.24,141,5259,4696,598,1134,252,21,145,570,65,14,445,1064,.241,.313,.397,.710,101,1863,110,65,11,39,14,941
